Amount_paid,Currency_Code,period_name,Employee_id,Employee_name,Position_name
-9869.37676,CNY,JAN-2025,,,
-393.39348,EUR,JAN-2025,,,
-123.48616,EUR,JAN-2025,,,
122.72038,EUR,JAN-2025,,,
0,MXN,JAN-2025,,,
-1691.2407,MXN,JAN-2025,,,
-3421.427718747371690502135869155595,CNY,JAN-2025,,,
0,CAD,JAN-2025,,,
-2311.612815276422077401292644808425,BRL,JAN-2025,,,
-4176.08847,BRL,JAN-2025,,,
-2188.16668,SGD,JAN-2025,,,
0,BRL,JAN-2025,,,
3450.72463,BRL,JAN-2025,,,
0,USD,JAN-2025,,,
19.90942,USD,JAN-2025,,,
0,KRW,JAN-2025,,,
0,KRW,JAN-2025,,,
48339.20364,KRW,JAN-2025,,,
24322.10296,KRW,JAN-2025,,,
-72661.3066,KRW,JAN-2025,,,
-320.83142,EUR,JAN-2025,,,
171254.82865,INR,JAN-2025,,,
35282.88766,INR,JAN-2025,,,
15083.66354,JPY,JAN-2025,,,
93258.88894,KES,JAN-2025,,,
38819.72121,KES,JAN-2025,,,
21192.3774,TWD,JAN-2025,,,
-1355.15086,USD,JAN-2025,,,
-117490.47382,INR,JAN-2025,,,
0,KZT,JAN-2025,,,
0,KZT,JAN-2025,,,
0,QAR,JAN-2025,,,
-84.79466,GBP,JAN-2025,,,
0,GBP,JAN-2025,,,
-352149.43608,INR,JAN-2025,,,
0,KRW,JAN-2025,,,
25198.36224,KRW,JAN-2025,,,
-50140.09424,KRW,JAN-2025,,,
-50439.18592,THB,JAN-2025,,,
0,IDR,JAN-2025,,,
20475015.23494,IDR,JAN-2025,,,
-80.1779666270044757176344508471609,EUR,JAN-2025,,,
167.48847,EUR,JAN-2025,,,
-149897.08,ARS,JAN-2025,,,
81236.80814,COP,JAN-2025,,,
432.22963,EUR,JAN-2025,,,
-1847431.43983,COP,JAN-2025,,,
152942.32179,COP,JAN-2025,,,
0,COP,JAN-2025,,,
-23548686.43718,COP,JAN-2025,,,
-181485.5457633823968350728737532268,CLP,JAN-2025,,,
-6707.25357,MYR,JAN-2025,,,
0,ZAR,JAN-2025,,,
-191557.9260956666041785384406711625,ZAR,JAN-2025,,,
-11807.99540517687700201229347733379,ZAR,JAN-2025,,,
0,ZAR,JAN-2025,,,
-313.4302444067193028060026743004944,TND,JAN-2025,,,
