name,title,earning_group,category,sub_category
,AD-OS_ONC_SPECIALTY,Follow On Points,ONC,Follow On Patients
,AD-OS_ONC_SPECIALTY,Growth Commission,ONC,Others
,AD-OS_ONC_SPECIALTY,Guarantee Extended,ONC,Others
,AD-OS_ONC_SPECIALTY,Initial Patients Points,ONC,Initial Patients
,AD-OS_ONC_SPECIALTY,MBO,ONC,Others
,AD-OS_ONC_SPECIALTY,Patient Retention,ONC,Others
,COS,Above Goal Empower,ONC,Others
,COS,Above Goal Follow On Points,ONC,Follow On Patients
,COS,Above Goal Initial Patients Points,ONC,Initial Patients
,COS,Access Milestone,ONC,Others
,COS,Bonus,ONC,Others
,COS,CHS Team Performance,ONC,Others
,COS,Commission Adjustment,ONC,Others
,COS,Follow On Points,ONC,Follow On Patients
,COS,Growth Commission,ONC,Others
,COS,Guarantee Extended,ONC,Others
,COS,Initial Patients Points,ONC,Initial Patients
,COS,MBO,ONC,Others
,COS,Patient Retention,ONC,Others
,COS-Exec,Above Goal Empower,ONC,Others
,COS-Exec,Above Goal Follow On Points,ONC,Follow On Patients
,COS-Exec,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-Exec,Access Milestone,ONC,Others
,COS-Exec,Bonus,ONC,Others
,COS-Exec,CHS Team Performance,ONC,Others
,DM_Sig,Bonus,ONC,Others
,DM_Sig,CHS Team Performance,ONC,Others
,DM_Sig,Commission Adjustment,ONC,Others
,DM_Sig,Follow On Points,ONC,Follow On Patients
,DM_Sig,Growth Commission,ONC,Others
,DM_Sig,Guarantee Extended,ONC,Others
,DM_Sig,Initial Patients Points,ONC,Initial Patients
,DM_Sig,MBO,ONC,Others
,DM_Sig,Patient Retention,ONC,Others
,"Dir, Oncology Channel Co",Above Goal Empower,ONC,Others
,"Dir, Oncology Channel Co",Above Goal Follow On Points,ONC,Follow On Patients
,"Dir, Oncology Channel Co",Above Goal Initial Patients Points,ONC,Initial Patients
,"Dir, Oncology Channel Co",Access Milestone,ONC,Others
,"Dir, Oncology Channel Co",Bonus,ONC,Others
,"Dir, Oncology Channel Co",CHS Team Performance,ONC,Others
,"Dir, Oncology Channel Co",Commission Adjustment,ONC,Others
,"Dir, Oncology Channel Co",Follow On Points,ONC,Follow On Patients
,"Dir, Oncology Channel Co",Growth Commission,ONC,Others
